"Naics code
Code Scian",Description_English,"Year
Année"
11,"Agriculture, Forestry, Fishing and Hunting",2014
21,"Mining, Quarrying, and Oil and Gas Extraction",2014
22,Utilities,2014
23,Construction,2014
41,Wholesale Trade,2014
51,Information and Cultural Industries,2014
53,Real Estate and Rental and Leasing,2014
54,"Professional, Scientific and Technical Services",2014
55,Management of Companies and Enterprises,2014
56,"Administrative and Support, Waste Management and Remediation Services",2014
61,Educational Services,2014
62,Health Care and Social Assistance,2014
71,"Arts, Entertainment and Recreation",2014
72,Accommodation and Food Services,2014
81,Other Services (except Public Administration),2014
111,Crop Production,2014
112,Animal Production,2014
113,Forestry and Logging,2014
114,"Fishing, Hunting and Trapping",2014
115,Support Activities for Agriculture and Forestry,2014
211,Oil and Gas Extraction,2014
212,Mining and Quarrying (except Oil and Gas),2014
213,Support Activities for Mining and Oil and Gas Extraction,2014
221,Utilities,2014
236,Construction of Buildings,2014
237,Heavy and Civil Engineering Construction,2014
238,Specialty Trade Contractors,2014
311,Food Manufacturing,2014
312,Beverage and Tobacco Product Manufacturing,2014
313,Textile Mills,2014
314,Textile Product Mills,2014
315,Clothing Manufacturing,2014
316,Leather and Allied Product Manufacturing,2014
321,Wood Product Manufacturing,2014
322,Paper Manufacturing,2014
323,Printing and Related Support Activities,2014
324,Petroleum and Coal Product Manufacturing,2014
325,Chemical Manufacturing,2014
326,Plastics and Rubber Products Manufacturing,2014
327,Non-Metallic Mineral Product Manufacturing,2014
331,Primary Metal Manufacturing,2014
332,Fabricated Metal Product Manufacturing,2014
333,Machinery Manufacturing,2014
334,Computer and Electronic Product Manufacturing,2014
335,"Electrical Equipment, Appliance and Component Manufacturing",2014
336,Transportation Equipment Manufacturing,2014
337,Furniture and Related Product Manufacturing,2014
339,Miscellaneous Manufacturing,2014
411,Farm Product Wholesaler-Distributors,2014
412,Petroleum Product Wholesaler-Distributors,2014
413,"Food, Beverage and Tobacco Wholesaler-Distributors",2014
414,Personal and Household Goods Wholesaler-Distributors,2014
415,Motor Vehicle and Parts Wholesaler-Distributors,2014
416,Building Material and Supplies Wholesaler-Distributors,2014
417,"Machinery, Equipment and Supplies Wholesaler-Distributors",2014
418,Miscellaneous Wholesaler-Distributors,2014
419,"Wholesale Electronic Markets, and Agents and Brokers",2014
441,Motor Vehicle and Parts Dealers,2014
442,Furniture and Home Furnishings Stores,2014
443,Electronics and Appliance Stores,2014
444,Building Material and Garden Equipment and Supplies Dealers,2014
445,Food and Beverage Stores,2014
446,Health and Personal Care Stores,2014
447,Gasoline Stations,2014
448,Clothing and Clothing Accessories Stores,2014
451,"Sporting Goods, Hobby, Book and Music Stores",2014
452,General Merchandise Stores,2014
453,Miscellaneous Store Retailers,2014
454,Non-Store Retailers,2014
481,Air Transportation,2014
482,Rail Transportation,2014
483,Water Transportation,2014
484,Truck Transportation,2014
485,Transit and Ground Passenger Transportation,2014
486,Pipeline Transportation,2014
487,Scenic and Sightseeing Transportation,2014
488,Support Activities for Transportation,2014
491,Postal Service,2014
492,Couriers and Messengers,2014
493,Warehousing and Storage,2014
511,Publishing Industries (except Internet),2014
512,Motion Picture and Sound Recording Industries,2014
515,Broadcasting (except Internet),2014
517,Telecommunications,2014
518,"Data Processing, Hosting, and Related Services",2014
519,Other Information Services,2014
531,Real Estate,2014
532,Rental and Leasing Services,2014
533,Lessors of Non-Financial Intangible Assets (Except Copyrighted Works),2014
541,"Professional, Scientific and Technical Services",2014
551,Management of Companies and Enterprises,2014
561,Administrative and Support Services,2014
562,Waste Management and Remediation Services,2014
611,Educational Services,2014
621,Ambulatory Health Care Services,2014
622,Hospitals,2014
623,Nursing and Residential Care Facilities,2014
624,Social Assistance,2014
711,"Performing Arts, Spectator Sports and Related Industries",2014
712,Heritage Institutions,2014
713,"Amusement, Gambling and Recreation Industries",2014
721,Accommodation Services,2014
722,Food Services and Drinking Places,2014
811,Repair and Maintenance,2014
812,Personal and Laundry Services,2014
813,"Religious, Grant-Making, Civic, and Professional and Similar Organizations",2014
814,Private Households,2014
1111,Oilseed and Grain Farming,2014
1112,Vegetable and Melon Farming,2014
1113,Fruit and Tree Nut Farming,2014
1114,"Greenhouse, Nursery and Floriculture Production",2014
1119,Other Crop Farming,2014
1121,Cattle Ranching and Farming,2014
1122,Hog and Pig Farming,2014
1123,Poultry and Egg Production,2014
1124,Sheep and Goat Farming,2014
1125,Aquaculture,2014
1129,Other Animal Production,2014
1131,Timber Tract Operations,2014
1132,Forest Nurseries and Gathering of Forest Products,2014
1133,Logging,2014
1141,Fishing,2014
1142,Hunting and Trapping,2014
1151,Support Activities for Crop Production,2014
1152,Support Activities for Animal Production,2014
1153,Support Activities for Forestry,2014
2111,Oil and Gas Extraction,2014
2121,Coal Mining,2014
2122,Metal Ore Mining,2014
2123,Non-Metallic Mineral Mining and Quarrying,2014
2131,Support Activities for Mining and Oil and Gas Extraction,2014
2211,"Electric Power Generation, Transmission and Distribution",2014
2212,Natural Gas Distribution,2014
2213,"Water, Sewage and Other Systems",2014
2361,Residential Building Construction,2014
2362,Non-residential Building Construction,2014
2371,Utility System Construction,2014
2372,Land Subdivision,2014
2373,"Highway, Street and Bridge Construction",2014
2379,Other Heavy and Civil Engineering Construction,2014
2381,"Foundation, Structure, and Building Exterior Contractors",2014
2382,Building Equipment Contractors,2014
2383,Building Finishing Contractors,2014
2389,Other Specialty Trade Contractors,2014
3111,Animal Food Manufacturing,2014
3112,Grain and Oilseed Milling,2014
3113,Sugar and Confectionery Product Manufacturing,2014
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,2014
3115,Dairy Product Manufacturing,2014
3116,Meat Product Manufacturing,2014
3117,Seafood Product Preparation and Packaging,2014
3118,Bakeries and Tortilla Manufacturing,2014
3119,Other Food Manufacturing,2014
3121,Beverage Manufacturing,2014
3122,Tobacco Manufacturing,2014
3131,"Fibre, Yarn and Thread Mills",2014
3132,Fabric Mills,2014
3133,Textile and Fabric Finishing and Fabric Coating,2014
3141,Textile Furnishings Mills,2014
3149,Other Textile Product Mills,2014
3151,Clothing Knitting Mills,2014
3152,Cut and Sew Clothing Manufacturing,2014
3159,Clothing Accessories and Other Clothing Manufacturing,2014
3161,Leather and Hide Tanning and Finishing,2014
3162,Footwear Manufacturing,2014
3169,Other Leather and Allied Product Manufacturing,2014
3211,Sawmills and Wood Preservation,2014
3212,"Veneer, Plywood and Engineered Wood Product Manufacturing",2014
3219,Other Wood Product Manufacturing,2014
3221,"Pulp, Paper and Paperboard Mills",2014
3222,Converted Paper Product Manufacturing,2014
3231,Printing and Related Support Activities,2014
3241,Petroleum and Coal Product Manufacturing,2014
3251,Basic Chemical Manufacturing,2014
3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibres and Filaments Manufacturing",2014
3253,"Pesticide, Fertilizer and Other Agricultural Chemical Manufacturing",2014
3254,Pharmaceutical and Medicine Manufacturing,2014
3255,"Paint, Coating and Adhesive Manufacturing",2014
3256,"Soap, Cleaning Compound and Toilet Preparation Manufacturing",2014
3259,Other Chemical Product Manufacturing,2014
3261,Plastic Product Manufacturing,2014
3262,Rubber Product Manufacturing,2014
3271,Clay Product and Refractory Manufacturing,2014
3272,Glass and Glass Product Manufacturing,2014
3273,Cement and Concrete Product Manufacturing,2014
3274,Lime and Gypsum Product Manufacturing,2014
3279,Other Non-Metallic Mineral Product Manufacturing,2014
3311,Iron and Steel Mills and Ferro-Alloy Manufacturing,2014
3312,Steel Product Manufacturing from Purchased Steel,2014
3313,Alumina and Aluminum Production and Processing,2014
